I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-112, 24, 136, 43, -124, 80, 102, 185, 224, 248, 253, 200, 
-117, 29, 146, 43, -131, 87, 102, 175, 214, 253, 248, 209, 
-117, 29, 146, 43, -131, 87, 102, 175, 214, 248, 244, 204, 
-117, 29, 146, 43, -131, 87, 97, 170, 209, 234, 234, 204, 
-117, 34, 151, 41, -134, 92, 92, 165, 204, 229, 224, 200, 
-117, 24, 141, 46, -129, 82, 97, 156, 190, 224, 224, 200, 
-112, 29, 141, 41, -126, 85, 97, 151, 185, 219, 214, 190, 
-112, 34, 146, 39, -129, 90, 97, 141, 175, 209, 204, 175, 
-107, 34, 141, 36, -124, 87, 92, 131, 165, 200, 200, 161, 
-117, 29, 146, 43, -131, 87, 78, 122, 161, 185, 200, 161, 
-117, 29, 146, 43, -131, 87, 78, 112, 146, 165, 190, 156, 
-107, 29, 136, 39, -122, 82, 68, 97, 136, 151, 170, 146, 
-107, 29, 136, 39, -122, 82, 68, 92, 122, 141, 156, 136, 
-97, 39, 136, 29, -117, 87, 58, 78, 117, 131, 141, 112, 
-87, 39, 126, 24, -107, 82, 53, 68, 102, 122, 126, 97, 
-73, 39, 112, 17, -92, 75, 53, 58, 92, 112, 117, 82, 
-63, 39, 102, 12, -82, 70, 48, 48, 87, 102, 97, 73, 
-73, 34, 107, 19, -90, 70, 39, 43, 78, 73, 92, 58, 
-68, 34, 102, 17, -85, 68, 34, 39, 68, 63, 78, 53, 
-58, 34, 92, 12, -75, 63, 34, 29, 58, 53, 63, 39, 
-53, 34, 87, 9, -70, 61, 24, 19, 43, 39, 53, 29, 
-53, 29, 82, 12, -68, 56, 29, 24, 39, 39, 39, 14, 
-53, 24, 78, 14, -65, 51, 24, 14, 34, 39, 34, 9, 
-43, 24, 68, 9, -56, 46, 19, 9, 34, 29, 24, 0, 
-39, 24, 63, 7, -51, 43, 19, -4, 24, 24, 24, -4, 
-39, 9, 48, 14, -43, 29, 19, -9, 9, 14, 14, -9, 
-34, 4, 39, 14, -36, 21, 14, -14, 0, -4, 4, -14, 
-29, 4, 34, 12, -31, 19, 9, -19, -4, -4, 0, -19, 
-24, 9, 34, 7, -29, 21, 9, -24, -14, -14, -9, -24, 
-24, 0, 24, 12, -24, 12, 4, -19, -19, -19, -29, -43, 
-24, -4, 19, 14, -21, 7, 0, -24, -24, -24, -34, -53, 
-19, -4, 14, 12, -17, 4, 0, -29, -24, -24, -34, -58, 
-14, -4, 9, 9, -12, 2, 0, -29, -34, -34, -39, -63, 
-9, 0, 9, 4, -9, 4, 4, -29, -24, -29, -39, -58, 
-9, 0, 9, 4, -9, 4, 4, -29, -29, -34, -43, -63, 
-9, -4, 4, 7, -7, 0, 9, -34, -29, -39, -39, -63, 
-9, -4, 4, 7, -7, 0, 9, -34, -29, -39, -39, -63, 
